FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
PNICKUSDM,"Global price of Nickel, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PCOPPUSDM,"Global price of Copper, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PZINCUSDM,"Global price of Zinc, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
,,,
Frequency: Monthly,,,
observation_date,PNICKUSDM,PCOPPUSDM,PZINCUSDM
1994-03-01,5590.43457031250,1913.17391866455,937.608703613281
1994-04-01,5400.26318359375,1881.36846713562,924.342102050781
1994-05-01,6082.85693359375,2144.50007046051,956.714294433594
1994-06-01,6287.04541015625,2363.09102303009,966.000000000000
1994-07-01,6230.57128906250,2447.23803404999,962.642883300781
1994-08-01,5856.13623046875,2409.74997397766,946.909118652344
1994-09-01,6370.68164062500,2504.84103139343,993.545471191406
1994-10-01,6735.85693359375,2546.02375416412,1059.547607421880
1994-11-01,7474.54541015625,2803.54541098175,1150.272705078130
1994-12-01,8540.65039062500,2980.69999645081,1112.750000000000
1995-01-01,9596.19042968750,3003.26189506836,1154.809570312500
1995-02-01,8431.25000000000,2870.45015814514,1030.675048828130
1995-03-01,7522.39111328125,2919.67397804871,1021.695678710940
1995-04-01,7405.00000000000,2894.88882296448,1059.138916015630
1995-05-01,7262.38085937500,2771.57125569763,1036.619018554690
1995-06-01,7877.27294921875,2987.68194348755,1007.772705078130
1995-07-01,8618.00000000000,3076.45005816650,1028.055053710940
1995-08-01,8931.81835937500,3040.13619641418,1015.477294921880
1995-09-01,8397.25000000000,2910.42504276428,988.025024414063
1995-10-01,8068.86376953125,2810.06817431793,980.431823730469
1995-11-01,8498.09570312500,2981.61903664856,1033.190429687500
1995-12-01,8074.21044921875,2918.21064537659,1017.157897949220
1996-01-01,7870.71435546875,2604.99992943115,1019.690490722660
1996-02-01,8198.50000000000,2544.66672335968,1035.833374023440
1996-03-01,8046.39990234375,2563.34994940033,1063.250000000000
1996-04-01,8047.00000000000,2594.17496803894,1043.949951171880
1996-05-01,8042.85693359375,2658.76193080902,1036.547607421880
1996-06-01,7713.15771484375,2177.59998270721,1009.400024414060
1996-07-01,7202.60888671875,1983.93479971771,1000.521728515630
1996-08-01,7037.61914062500,2017.85720584564,1007.952392578130
1996-09-01,7329.80957031250,1935.07143060913,998.976196289063
1996-10-01,7028.69580078125,1960.19567519531,1002.717407226560
1996-11-01,6960.71435546875,2215.42864607391,1044.314331054690
1996-12-01,6571.04785156250,2264.59527826385,1036.547607421880
1997-01-01,7069.13623046875,2427.27279402924,1086.136352539060
1997-02-01,7736.57910156250,2406.63156159363,1178.157958984380
1997-03-01,7893.21044921875,2420.18420872650,1254.342163085940
1997-04-01,7313.13623046875,2389.31814949341,1240.022705078130
1997-05-01,7476.00000000000,2513.29993523407,1310.125000000000
1997-06-01,7060.00000000000,2611.28570015411,1354.976196289060
1997-07-01,6832.73925781250,2449.19570404663,1517.021728515630
1997-08-01,6764.45019531250,2250.10004305115,1650.625000000000
1997-09-01,6498.28564453125,2104.30955452118,1638.285766601560
1997-10-01,6373.47802734375,2050.69556840210,1276.673950195310
1997-11-01,6137.25000000000,1918.49994499359,1171.150024414060
1997-12-01,5942.38085937500,1761.45239143524,1101.261962890630
1998-01-01,5489.00000000000,1687.60000986328,1096.250000000000
1998-02-01,5367.25000000000,1663.99998604431,1043.199951171880
1998-03-01,5397.04541015625,1747.15916341095,1046.750000000000
1998-04-01,5391.00000000000,1800.12507817535,1096.175048828130
1998-05-01,5016.84228515625,1731.65792903595,1060.368408203130
1998-06-01,4456.90478515625,1656.59518632507,1007.595214843750
1998-07-01,4332.61914062500,1655.66672697449,1043.500000000000
1998-08-01,4078.00000000000,1619.92507875671,1029.050048828130
1998-09-01,4100.90917968750,1646.77269191284,999.636352539063
1998-10-01,3870.45458984375,1585.49992534637,941.363647460938
1998-11-01,4117.25000000000,1573.72497511139,965.950012207031
1998-12-01,3865.76318359375,1475.76309447174,961.578918457031
1999-01-01,4264.00000000000,1432.00002842255,931.750000000000
1999-02-01,4623.25000000000,1412.95000000000,1017.600000000000
1999-03-01,5002.95454545455,1378.47727272727,1028.795454545450
1999-04-01,5054.75000000000,1463.72500000000,1018.175000000000
1999-05-01,5395.78947368421,1510.44736842105,1039.921052631580
1999-06-01,5194.77272727273,1422.15909090909,999.909090909091
1999-07-01,5696.36363636364,1639.18181818182,1071.227272727270
1999-08-01,6431.42857142857,1646.73809523810,1129.690476190480
1999-09-01,7029.09090909091,1749.68181818182,1192.931818181820
1999-10-01,7317.61904761905,1723.28571428571,1147.976190476190
1999-11-01,7946.81818181818,1726.77272727273,1146.386363636360
1999-12-01,8073.23529411765,1764.88235294118,1185.235294117650
2000-01-01,8315.25000000000,1843.85000000000,1178.575000000000
2000-02-01,9583.75000000000,1807.02500000000,1098.250000000000
2000-03-01,10255.40000000000,1739.80000000000,1113.000000000000
2000-04-01,9746.50000000000,1681.90750000000,1132.520000000000
2000-05-01,10122.91304347830,1785.09782608696,1154.073913043480
2000-06-01,8384.31818181818,1752.07272727273,1116.190909090910
2000-07-01,8174.80952380952,1803.14285714286,1135.914285714290
2000-08-01,8038.43478260870,1857.12391304348,1172.552173913040
2000-09-01,8624.80952380952,1961.89285714286,1221.671428571430
2000-10-01,7650.63636363636,1894.37272727273,1091.613636363640
2000-11-01,7350.59090909091,1795.60227272727,1058.681818181820
2000-12-01,7318.80000000000,1852.40000000000,1059.330000000000
2001-01-01,6975.90909090909,1787.05681818182,1032.700000000000
2001-02-01,6546.80000000000,1766.12500000000,1021.580000000000
2001-03-01,6165.18181818182,1742.15909090909,1005.622727272730
2001-04-01,6363.11111111111,1665.97222222222,970.138888888889
2001-05-01,7086.47619047619,1684.85000000000,937.961904761905
2001-06-01,6674.33333333333,1610.46904761905,896.928571428571
2001-07-01,5962.54545454546,1526.77045454545,853.304545454545
2001-08-01,5525.63636363636,1466.41136363636,830.031818181818
2001-09-01,5057.65000000000,1427.69736842105,799.510000000000
2001-10-01,4830.78260869565,1377.37608695652,761.739130434782
2001-11-01,5131.31818181818,1434.29318181818,774.345454545454
2001-12-01,5315.82352941176,1472.84705882353,757.970588235294
2002-01-01,6061.36363636364,1508.22727272727,794.195454545454
2002-02-01,6039.95000000000,1561.36750000000,773.470000000000
2002-03-01,6543.20000000000,1607.39250000000,819.995000000000
2002-04-01,6956.80952380952,1588.57142857143,807.576190476190
2002-05-01,6771.18181818182,1597.02272727273,768.250000000000
2002-06-01,7147.61111111111,1650.59444444444,769.422222222222
2002-07-01,7137.69565217391,1588.28478260870,795.013043478261
2002-08-01,6736.85714285714,1482.91666666667,748.809523809524
2002-09-01,6664.95238095238,1478.93333333333,756.176190476190
2002-10-01,6818.91304347826,1486.17173913043,755.086956521739
2002-11-01,7314.80952380952,1581.03571428571,764.566666666666
2002-12-01,7206.33333333333,1592.96428571429,794.261904761905
2003-01-01,8032.80681818182,1650.31136363636,782.318181818182
2003-02-01,8607.90000000000,1682.14500000000,785.635000000000
2003-03-01,8339.61904761905,1655.69285714286,790.304761904762
2003-04-01,7930.52500000000,1587.86750000000,756.725000000000
2003-05-01,8347.72500000000,1651.10000000000,776.100000000000
2003-06-01,8839.02380952381,1685.10714285714,790.642857142857
2003-07-01,8831.70000000000,1712.82608695652,828.484782608696
2003-08-01,9359.87500000000,1756.72500000000,815.195000000000
2003-09-01,9995.77272727273,1789.67045454545,818.920454545455
2003-10-01,11040.28260869570,1925.58260869565,900.080434782609
2003-11-01,12052.37500000000,2053.27500000000,914.212500000000
2003-12-01,14185.20952380950,2202.03571428571,976.757142857143
2004-01-01,15089.33333333330,2421.47619047619,1015.888095238100
2004-02-01,15099.35000000000,2751.71750000000,1085.787500000000
2004-03-01,13786.54347826090,3000.28260869565,1101.795652173910
2004-04-01,12725.90000000000,2926.97500000000,1028.912500000000
2004-05-01,11228.60526315790,2728.46052631579,1030.957894736840
